,id,zipcode,season,season_median_price,price,sell_price,profit
0,7129300520,98178,fall,287000.0,221900.0,288470.0,66570.0
1,2976800796,98178,fall,287000.0,236000.0,306800.0,70800.0
2,1180002378,98178,fall,287000.0,299000.0,328900.0,29900.0
3,1180500070,98178,fall,287000.0,335000.0,368500.0,33500.0
4,179000350,98178,fall,287000.0,194000.0,252200.0,58200.0
5,7878400135,98178,fall,287000.0,355000.0,390500.0,35500.0
6,7887200390,98178,fall,287000.0,294000.0,323400.0,29400.0
7,179003055,98178,fall,287000.0,210000.0,273000.0,63000.0
8,8073000495,98178,fall,287000.0,700000.0,770000.0,70000.0
9,4058801240,98178,fall,287000.0,330000.0,363000.0,33000.0
10,3352402250,98178,fall,287000.0,119900.0,155870.0,35970.0
11,399000195,98178,fall,287000.0,200000.0,260000.0,60000.0
12,1180500100,98178,fall,287000.0,353000.0,388300.0,35300.0
13,7129300420,98178,fall,287000.0,258000.0,335400.0,77400.0
14,185000161,98178,fall,287000.0,261000.0,339300.0,78300.0
15,4058801310,98178,fall,287000.0,287000.0,315700.0,28700.0
16,8068000305,98178,fall,287000.0,241000.0,313300.0,72300.0
17,3878900185,98178,fall,287000.0,303100.0,333410.0,30310.0
18,4058200630,98178,fall,287000.0,353000.0,388300.0,35300.0
19,7812800865,98178,fall,287000.0,170000.0,221000.0,51000.0
20,7657600195,98178,fall,287000.0,199950.0,259935.0,59985.0
21,1180000625,98178,fall,287000.0,315000.0,346500.0,31500.0
22,9218400088,98178,fall,287000.0,495000.0,544500.0,49500.0
23,2520900301,98178,fall,287000.0,239300.0,311090.0,71790.0
24,7812800515,98178,fall,287000.0,159075.0,206797.5,47722.5
25,4058801225,98178,fall,287000.0,350000.0,385000.0,35000.0
26,372000040,98178,fall,287000.0,304000.0,334400.0,30400.0
27,179001425,98178,fall,287000.0,230000.0,299000.0,69000.0
28,2976800115,98178,fall,287000.0,349170.0,384087.0,34917.0
29,4059400265,98178,fall,287000.0,339950.0,373945.0,33995.0
30,7390400026,98178,fall,287000.0,315000.0,346500.0,31500.0
31,179000505,98178,fall,287000.0,257000.0,334100.0,77100.0
32,1180000885,98178,fall,287000.0,340500.0,374550.0,34050.0
33,1180002735,98178,fall,287000.0,269000.0,349700.0,80700.0
34,4279900140,98178,fall,287000.0,251000.0,326300.0,75300.0
35,3352401090,98178,fall,287000.0,238950.0,310635.0,71685.0
36,2144800311,98178,fall,287000.0,315000.0,346500.0,31500.0
37,1180002470,98178,fall,287000.0,354000.0,389400.0,35400.0
38,1180003435,98178,fall,287000.0,275000.0,357500.0,82500.0
39,7192200040,98178,fall,287000.0,280000.0,364000.0,84000.0
40,2988800065,98178,fall,287000.0,281000.0,365300.0,84300.0
41,1262700040,98178,fall,287000.0,363500.0,399850.0,36350.0
42,393000142,98178,fall,287000.0,372000.0,409200.0,37200.0
43,2976800749,98178,fall,287000.0,150000.0,195000.0,45000.0
44,5476800201,98178,fall,287000.0,295000.0,324500.0,29500.0
45,7812801590,98178,fall,287000.0,219900.0,285870.0,65970.0
46,3352400351,98178,fall,287000.0,200000.0,260000.0,60000.0
47,7812801850,98178,fall,287000.0,194000.0,252200.0,58200.0
